,name,type,color,_igraph_index,id
372,31619,False,red,1587,1587
373,31766,False,red,1596,1596
374,31888,False,red,1598,1598
375,31945,False,red,1602,1602
376,3202,False,red,1610,1610
377,32168,False,red,1617,1617
378,32277,False,red,1624,1624
379,32297,False,red,1628,1628
380,32565,False,red,1645,1645
381,32575,False,red,1648,1648
382,32616,False,red,1650,1650
383,33230,False,red,1685,1685
384,3341,False,red,1698,1698
385,3349,False,red,1700,1700
386,34467,False,red,1731,1731
387,3492,False,red,1745,1745
388,35263,False,red,1761,1761
389,35413,False,red,1767,1767
390,35558,False,red,1779,1779
391,35791,False,red,1789,1789
392,3606,False,red,1797,1797
393,36117,False,red,1801,1801
394,36146,False,red,1802,1802
395,36422,False,red,1816,1816
396,36630,False,red,1821,1821
397,36692,False,red,1824,1824
398,36899,False,red,1829,1829
399,37010,False,red,1835,1835
400,37155,False,red,1840,1840
401,3757,False,red,1857,1857
402,37760,False,red,1871,1871
403,38003,False,red,1883,1883
404,382,False,red,1896,1896
405,38420,False,red,1904,1904
406,3853,False,red,1911,1911
407,3877,False,red,1919,1919
408,38896,False,red,1924,1924
409,38939,False,red,1926,1926
410,39037,False,red,1933,1933
411,39053,False,red,1936,1936
412,392,False,red,1943,1943
413,39512,False,red,1963,1963
414,39572,False,red,1965,1965
415,39748,False,red,1978,1978
416,39782,False,red,1982,1982
417,4000,False,red,1991,1991
418,40006,False,red,1992,1992
419,40202,False,red,1999,1999
420,40247,False,red,2000,2000
421,4033,False,red,2005,2005
422,40663,False,red,2022,2022
423,41121,False,red,2052,2052
424,41267,False,red,2067,2067
425,4128,False,red,2069,2069
426,41502,False,red,2084,2084
427,41515,False,red,2087,2087
428,4158,False,red,2093,2093
429,41680,False,red,2103,2103
430,4184,False,red,2115,2115
431,4235,False,red,2150,2150
432,42627,False,red,2157,2157
433,42746,False,red,2168,2168
434,42760,False,red,2169,2169
435,43207,False,red,2188,2188
436,43511,False,red,2212,2212
437,43516,False,red,2213,2213
438,43896,False,red,2230,2230
439,44081,False,red,2237,2237
440,44683,False,red,2268,2268
441,44816,False,red,2277,2277
