ID,Campaign Content - Content → Campaign ID,Campaign Campaign - Campaign → Advertiser ID,Media App Media - Media → Publisher ID
2796833,38068,92412,75324
2796957,38068,92412,40455
2796924,38068,92412,56790
2796893,38068,92412,54668
2796828,38068,92412,51483
2796967,38068,92412,69867
2796959,38068,92412,20663
2796826,38068,92412,61769
2796820,38068,92412,94068
2796987,38068,92412,36009
2796866,38068,92412,56008
2796973,38068,92412,67213
2796965,38068,92412,54668
2796966,38068,92412,83200
2796950,38068,92412,32070
2796830,38068,92412,20836
2796864,38068,92412,21869
2796807,38068,92412,5999
2796918,38068,92412,29067
2796857,38068,92412,32109
2796854,38068,92412,56060
2796911,38068,92412,28920
2796855,38068,92412,82325
2796878,38068,92412,28365
2796981,38068,92412,98910
2796916,38068,92412,13363
2796895,38068,92412,24704
2796849,38068,92412,93265
2796905,38068,92412,46170
2796836,38068,92412,26052
2796860,38068,92412,80684
2796842,38068,92412,60702
2796810,38068,92412,1615
2796903,38068,92412,61769
2796850,38068,92412,30438
2796817,38068,92412,31679
2796869,38068,92412,20836
2796853,38068,92412,94218
2796868,38068,92412,61769
2796970,38068,92412,84514
2796961,38068,92412,25809
2796894,38068,92412,69831
2796956,38068,92412,56845
2796910,38068,92412,61769
2796814,38068,92412,25376
2796839,38068,92412,24700
2796939,38068,92412,84740
2796919,38068,92412,63723
2796975,38068,92412,58194
2796960,38068,92412,48669
2796867,38068,92412,30268
2796888,38068,92412,70070
2796885,38068,92412,6751
2796941,38068,92412,32324
2796948,38068,92412,15976
2796884,38068,92412,24650
2796902,38068,92412,30275
2796963,38068,92412,90734
2796843,38068,92412,98019
2796879,38068,92412,22439
2796886,38068,92412,9332
2796955,38068,92412,67925
2796915,38068,92412,59725
2796823,38068,92412,12091
2796927,38068,92412,26052
2796811,38068,92412,102008
2796913,38068,92412,65297
2796863,38068,92412,1560
2796877,38068,92412,24820
2796985,38068,92412,30892
2796978,38068,92412,56360
2796880,38068,92412,51687
2796872,38068,92412,61183
2796908,38068,92412,15987
2796909,38068,92412,57429
2796848,38068,92412,28055
2796876,38068,92412,30119
2796874,38068,92412,56841
2797007,38068,92412,29334
2797014,38068,92412,37379
2796945,38068,92412,69113
2796993,38068,92412,35340
2796947,38068,92412,245
2797002,38068,92412,7563
2796921,38068,92412,89792
2796938,38068,92412,24798
2796901,38068,92412,59193
2796891,38068,92412,81744
2797009,38068,92412,68704
2796994,38068,92412,58820
2796983,38068,92412,101304
2796871,38068,92412,58770
2796809,38068,92412,13363
2796926,38068,92412,9045
2796937,38068,92412,67154
2796808,38068,92412,26410
2796917,38068,92412,73747
2796946,38068,92412,69045
2796935,38068,92412,26058
2796949,38068,92412,56858
2796999,38068,92412,46170
2796992,38068,92412,92488
2797001,38068,92412,54667
2796997,38068,92412,58820
2796988,38068,92412,31679
2797000,38068,92412,7890
2796998,38068,92412,58441
2796990,38068,92412,61769
2796996,38068,92412,2258
2796989,38068,92412,20836
2797004,38068,92412,26967
2797008,38068,92412,15987
2797015,38068,92412,32284
2797006,38068,92412,73747
2797013,38068,92412,31679
2797005,38068,92412,93324
2797016,38068,92412,4559
2797012,38068,92412,25174
2797010,38068,92412,29067
2797011,38068,92412,32206
2796862,38068,92412,19139
2796920,38068,92412,65297
2796977,38068,92412,1867
2796930,38068,92412,15969
2796889,38068,92412,24649
2796897,38068,92412,83814
2796824,38068,92412,83927
2796847,38068,92412,24699
2796841,38068,92412,16571
2796844,38068,92412,58908
2796845,38068,92412,59618
2796840,38068,92412,9483
2796851,38068,92412,25376
2796852,38068,92412,7869
2796838,38068,92412,60281
2796936,38068,92412,67907
2796944,38068,92412,67737
2796942,38068,92412,42489
2796940,38068,92412,79956
2796943,38068,92412,47622
2796934,38068,92412,100266
2796933,38068,92412,70552
2797003,38068,92412,66652
2796995,38068,92412,7022
2796991,38068,92412,7022
2797017,38068,92412,98910
2797018,38068,92412,36009
2796818,38068,92412,192
2796875,38068,92412,60281
2796835,38068,92412,55595
2796964,38068,92412,2377
2796887,38068,92412,32206
2870886,39859,93178,39627
2870892,39859,93178,91192
2870887,39859,93178,11891
2870888,39859,93178,25995
2870889,39859,93178,58584
2870890,39859,93178,90550
2870891,39859,93178,90550
2844465,39166,86978,1894
2759477,37134,86987,14696
2759472,37134,86987,1839
2759476,37134,86987,10498
2759474,37134,86987,7284
